,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification
0,0.0008122137266923936,0.004066433440328921,85.64324324324325,5405,default,1460.0,1295.0,451.0,E,normal
1,6.324646128836197e-05,0.002211465938298636,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal
2,0.004480996493658284,0.015324011947534738,99.57327586206897,6211,default,255.0,232.0,354.0,E,normal
3,0.017837098231573513,0.014973538143797599,69.7927927927928,8292,default,195.0,111.0,116.0,E,normal
4,0.0007971300684570827,0.006055818852027383,14.952755905511811,182,default,272.0,254.0,23.0,E,normal
5,0.0016601732773791798,0.005821036956816028,92.22222222222223,7359,default,897.0,801.0,430.0,E,normal
6,0.004798067474615132,0.012119226989846053,100.09836065573771,8790,default,342.0,305.0,370.0,E,normal
7,0.0075695735919234855,0.008833687566418703,65.7467248908297,6839,default,240.0,229.0,133.0,E,normal
8,0.0007075345519393668,0.014712438698172091,7.526845637583893,96,default,326.0,298.0,33.0,E,normal
9,0.0007985063310334369,0.004378648874061718,79.39202407825432,5056,default,1471.0,1329.0,462.0,E,normal
10,0.00029815745393634843,0.02105766929887533,6.539906103286385,75,default,659.0,639.0,88.0,E,normal
11,0.02153788634097707,0.01296111665004985,16.810055865921786,3889,default,204.0,179.0,39.0,E,normal
12,0.0005854347826086956,0.01391304347826087,20.26431718061674,162,default,236.0,227.0,64.0,E,normal
13,0.024036203866432338,0.017809021675454013,76.89189189189189,12309,default,115.0,111.0,152.0,E,normal
14,0.013711644591611479,0.011589403973509934,17.257142857142856,2982,default,216.0,210.0,42.0,E,normal
15,5.924300603400988e-06,0.01492046077893582,8.60717658168083,4,default,2593.0,1059.0,136.0,E,normal
16,0.0045198787537008315,0.019314817425630904,28.146825396825395,1924,default,375.0,252.0,137.0,E,normal
17,0.015495678790061217,0.01026287360460929,18.451827242524917,5164,default,341.0,301.0,57.0,E,normal
18,0.0016153125,0.040625,8.465608465608465,156,default,211.0,189.0,65.0,E,normal
19,0.01225919135863641,0.009315231394311762,82.71311475409836,14845,default,256.0,244.0,188.0,E,normal
20,0.0009801966292134832,0.005898876404494382,16.3302752293578,210,default,280.0,218.0,21.0,E,normal
21,0.013987527114967462,0.010845986984815618,17.39622641509434,3096,default,247.0,212.0,40.0,E,normal
22,0.0001470276383685587,0.0020499045734077895,19.432692307692307,125,default,1080.0,728.0,29.0,E,normal
23,0.0007481497753975047,0.003969366189181205,85.88874430709174,5926,default,1720.0,1537.0,524.0,E,normal
